MT	10356	15355	ENSMUSG00000064372	mt-Tp	-1
MT	15356	20355	ENSMUSG00000064371	mt-Tt	1
MT	15289	20288	ENSMUSG00000064370	mt-Cytb	1
MT	9071	14070	ENSMUSG00000064369	mt-Te	-1
MT	8552	13551	ENSMUSG00000064368	mt-Nd6	-1
MT	13566	18565	ENSMUSG00000064367	mt-Nd5	1
MT	11742	16741	ENSMUSG00000064366	mt-Tl2	1
MT	11672	16671	ENSMUSG00000064365	mt-Ts2	1
MT	11613	16612	ENSMUSG00000064364	mt-Th	1
MT	11545	16544	ENSMUSG00000064363	mt-Nd4	1
MT	10174	15173	ENSMUSG00000065947	mt-Nd4l	1
MT	9876	14875	ENSMUSG00000064361	mt-Tr	1
MT	9807	14806	ENSMUSG00000064360	mt-Nd3	1
MT	9459	14458	ENSMUSG00000064359	mt-Tg	1
MT	9391	14390	ENSMUSG00000064358	mt-Co3	1
MT	8608	13607	ENSMUSG00000064357	mt-Atp6	1
MT	7970	12969	ENSMUSG00000064356	mt-Atp8	1
MT	7765	12764	ENSMUSG00000064355	mt-Tk	1
MT	7697	12696	ENSMUSG00000064354	mt-Co2	1
MT	7012	12011	ENSMUSG00000064353	mt-Td	1
MT	1870	6869	ENSMUSG00000064352	mt-Ts1	-1
MT	6873	11872	ENSMUSG00000064351	mt-Co1	1
MT	260	5259	ENSMUSG00000064350	mt-Ty	-1
MT	192	5191	ENSMUSG00000064349	mt-Tc	-1
MT	89	5088	ENSMUSG00000064348	mt-Tn	-1
MT	18	5017	ENSMUSG00000064347	mt-Ta	-1
MT	5017	10016	ENSMUSG00000064346	mt-Tw	1
MT	4952	9951	ENSMUSG00000064345	mt-Nd2	1
MT	3914	8913	ENSMUSG00000064344	mt-Tm	1
MT	3775	8774	ENSMUSG00000064342	mt-Ti	1
MT	3708	8707	ENSMUSG00000064341	mt-Nd1	1
MT	2751	7750	ENSMUSG00000064340	mt-Tl1	1
MT	2676	7675	ENSMUSG00000064339	mt-Rnr2	1
MT	1094	6093	ENSMUSG00000064338	mt-Tv	1
MT	1025	6024	ENSMUSG00000064337	mt-Rnr1	1
MT	69	5068	ENSMUSG00000064336	mt-Tf	1
10	127067921	127072920	ENSMUSG00000006728	Cdk4	1
4	57979027	57984026	ENSMUSG00000038709	Txndc8	-1
6	141686647	141691646	ENSMUSG00000030236	Slco1b2	1
4	140722355	140727354	ENSMUSG00000040935	Padi6	-1
9	96818336	96823335	ENSMUSG00000043587	Pxylp1	-1
9	104104801	104109800	ENSMUSG00000111218	AC145736.2	1
17	27711107	27716106	ENSMUSG00000040276	Pacsin1	1
9	104101614	104106613	ENSMUSG00000111039	AC145736.1	1
10	128715134	128720133	ENSMUSG00000025357	Dgka	-1
9	104041599	104046598	ENSMUSG00000032557	Uba5	-1
11	54699286	54704285	ENSMUSG00000037533	Rapgef6	1
9	44102301	44107300	ENSMUSG00000092258	Gm20444	-1
8	12868729	12873728	ENSMUSG00000031441	Atp11a	1
2	104557490	104562489	ENSMUSG00000082379	Gm13884	1
4	115579016	115584015	ENSMUSG00000028712	Cyp4a31	1
