1	153326622	153331621	ENSG00000207321	RNU6-160P	1
1	148258476	148263475	ENSG00000199879	RNU1-120P	1
1	50577404	50582403	ENSG00000207194	RNU6-1026P	1
1	28476362	28481361	ENSG00000221216	RNU6ATAC27P	1
1	114697925	114702924	ENSG00000242769	RN7SL432P	-1
1	11842442	11847441	ENSG00000275915	NPPA-AS1_3	1
1	73749624	73754623	ENSG00000200601	RNA5SP50	-1
1	51724897	51729896	ENSG00000212624	SNORA26	-1
1	62073786	62078785	ENSG00000263908	MIR3116-1	1
1	32081949	32086948	ENSG00000266203	MIR5585	1
1	22005650	22010649	ENSG00000278124	RN7SL186P	1
1	85587280	85592279	ENSG00000199934	SNORD81	1
1	16666949	16671948	ENSG00000207513	RNU1-3	-1
1	28142842	28147841	ENSG00000253005	RNU6-176P	-1
1	248821377	248826376	ENSG00000264500	MIR3124	1
1	1162863	1167862	ENSG00000207607	MIR200A	1
1	54100225	54105224	ENSG00000279049	AL353898.2	-1
1	198859154	198864153	ENSG00000207759	MIR181A1	-1
1	116560112	116565111	ENSG00000264419	MIR548AC	-1
1	201728406	201733405	ENSG00000200942	RNU6-501P	1
1	52929930	52934929	ENSG00000266188	MIR5095	1
1	1296171	1301170	ENSG00000278073	MIR6726	-1
1	89020366	89025365	ENSG00000202385	Y_RNA	-1
1	144524022	144529021	ENSG00000275291	U1	-1
1	91830067	91835066	ENSG00000239794	RN7SL653P	-1
1	244949858	244954857	ENSG00000252073	RNU6-947P	1
1	229544905	229549904	ENSG00000201492	RNA5SP78	1
1	52923674	52928673	ENSG00000264834	MIR1273F	1
1	148517601	148522600	ENSG00000274210	U1	1
1	73191856	73196855	ENSG00000251825	RN7SKP19	-1
1	246189119	246194118	ENSG00000202184	RNU6-1283P	-1
1	22714517	22719516	ENSG00000265422	MIR4684	1
1	22863227	22868226	ENSG00000264014	MIR4253	-1
1	112366004	112371003	ENSG00000238761	snoU13	1
1	44773390	44778389	ENSG00000207421	SNORD38B	1
1	16534066	16539065	ENSG00000268991	FAM231B	1
1	232832188	232837187	ENSG00000206835	RNU1-74P	-1
